sequence,specialty,procedureNameEn,procedureNameAr,canonicalProcedureKey,anatomyRegion,illustrationType,figureLabsPrompt,imageFileName,imagePublicPath,certificatePath,imageReviewStatus,patientFacing,notes
1,General Surgery / Other,Cholecystectomy Laparoscopic,استئصال المرارة بالمنظار,laparoscopic-cholecystectomy,"Gallbladder, liver, bile ducts, upper right abdomen",anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Cholecystectomy Laparoscopic
Procedure (Arabic): استئصال المرارة بالمنظار
Specialty: General Surgery / Other
Anatomical region / focus: Gallbladder, liver, bile ducts, upper right abdomen
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",laparoscopic_cholecystectomy_anatomy_procedure_education_v1_approved.png,apps/web/public/educational/clinical-illustrations/general-surgery/laparoscopic-cholecystectomy/laparoscopic_cholecystectomy_anatomy_procedure_education_v1_approved.png,docs/clinical-illustrations/figurelabs/laparoscopic-cholecystectomy/laparoscopic_cholecystectomy_figurelabs_authorization_certificate_v1.pdf,approved,true,
2,General Surgery / Other,Appendicectomy - Open,استئصال الزائدة الدودية بالجراحة المفتوحة,appendicectomy-open,Appendix and lower right abdomen,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Appendicectomy - Open
Procedure (Arabic): استئصال الزائدة الدودية بالجراحة المفتوحة
Specialty: General Surgery / Other
Anatomical region / focus: Appendix and lower right abdomen
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",appendicectomy-open_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/general-surgery/appendicectomy-open/appendicectomy-open_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/appendicectomy-open/appendicectomy-open_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
3,Obstetrics & Gynecology,Caesarean Section,الولادة القيصرية,caesarean-section,"Uterus, lower abdominal wall, and fetus in utero",anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Caesarean Section
Procedure (Arabic): الولادة القيصرية
Specialty: Obstetrics & Gynecology
Anatomical region / focus: Uterus, lower abdominal wall, and fetus in utero
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",caesarean-section_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/obstetrics-gynecology/caesarean-section/caesarean-section_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/caesarean-section/caesarean-section_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
4,Gastroenterology / Hepatobiliary Surgery,Colonoscopy,تنظير القولون,colonoscopy,Large intestine and rectum,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Colonoscopy
Procedure (Arabic): تنظير القولون
Specialty: Gastroenterology / Hepatobiliary Surgery
Anatomical region / focus: Large intestine and rectum
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",colonoscopy_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/gastroenterology/colonoscopy/colonoscopy_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/colonoscopy/colonoscopy_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
5,Gastroenterology / Hepatobiliary Surgery,Upper Gastrointestinal Endoscopy,تنظير الجهاز الهضمي العلوي,upper-gastrointestinal-endoscopy,"Esophagus, stomach, and duodenum",anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Upper Gastrointestinal Endoscopy
Procedure (Arabic): تنظير الجهاز الهضمي العلوي
Specialty: Gastroenterology / Hepatobiliary Surgery
Anatomical region / focus: Esophagus, stomach, and duodenum
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",upper-gastrointestinal-endoscopy_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/gastroenterology/upper-gastrointestinal-endoscopy/upper-gastrointestinal-endoscopy_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/upper-gastrointestinal-endoscopy/upper-gastrointestinal-endoscopy_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
6,Radiology / Interventional Radiology,Angiogram and Plasty Stenting,تصوير الأوعية الدموية ووضع الدعامة,angiogram-and-plasty-stenting,Arterial tree and catheter access site,process_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Angiogram and Plasty Stenting
Procedure (Arabic): تصوير الأوعية الدموية ووضع الدعامة
Specialty: Radiology / Interventional Radiology
Anatomical region / focus: Arterial tree and catheter access site
Illustration type: process_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Focus on the care pathway, device, instrument, or procedural steps rather than detailed internal organ anatomy.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",angiogram-and-plasty-stenting_process_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/radiology/angiogram-and-plasty-stenting/angiogram-and-plasty-stenting_process_education_v1_draft.png,docs/clinical-illustrations/figurelabs/angiogram-and-plasty-stenting/angiogram-and-plasty-stenting_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
7,Vascular Surgery,Central Vascular Access Device Insertion,إدخال جهاز وصول وريدي مركزي,central-vascular-access-device-insertion,Central vein and catheter/port device,process_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Central Vascular Access Device Insertion
Procedure (Arabic): إدخال جهاز وصول وريدي مركزي
Specialty: Vascular Surgery
Anatomical region / focus: Central vein and catheter/port device
Illustration type: process_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Focus on the care pathway, device, instrument, or procedural steps rather than detailed internal organ anatomy.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",central-vascular-access-device-insertion_process_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/vascular-surgery/central-vascular-access-device-insertion/central-vascular-access-device-insertion_process_education_v1_draft.png,docs/clinical-illustrations/figurelabs/central-vascular-access-device-insertion/central-vascular-access-device-insertion_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
8,Transfusion Medicine / Blood Transfusion,Blood and Blood Products Transfusion,نقل الدم ومشتقاته,blood-and-blood-products-transfusion,"Intravenous line, blood bag, and infusion pathway",process_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Blood and Blood Products Transfusion
Procedure (Arabic): نقل الدم ومشتقاته
Specialty: Transfusion Medicine / Blood Transfusion
Anatomical region / focus: Intravenous line, blood bag, and infusion pathway
Illustration type: process_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Focus on the care pathway, device, instrument, or procedural steps rather than detailed internal organ anatomy.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",blood-and-blood-products-transfusion_process_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/transfusion-medicine/blood-and-blood-products-transfusion/blood-and-blood-products-transfusion_process_education_v1_draft.png,docs/clinical-illustrations/figurelabs/blood-and-blood-products-transfusion/blood-and-blood-products-transfusion_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
9,Urology,Cystoscopy,تنظير المثانة,cystoscopy,"Bladder, urethra, and ureteric orifices",anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Cystoscopy
Procedure (Arabic): تنظير المثانة
Specialty: Urology
Anatomical region / focus: Bladder, urethra, and ureteric orifices
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",cystoscopy_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/urology/cystoscopy/cystoscopy_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/cystoscopy/cystoscopy_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
10,Pulmonology / Interventional Radiology,Thoracentesis (Pleural Tap),بزل الصدر,thoracentesis-pleural-tap,"Pleural space, lung, and chest wall",anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Thoracentesis (Pleural Tap)
Procedure (Arabic): بزل الصدر
Specialty: Pulmonology / Interventional Radiology
Anatomical region / focus: Pleural space, lung, and chest wall
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",thoracentesis-pleural-tap_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/pulmonology-interventional-radiology/thoracentesis-pleural-tap/thoracentesis-pleural-tap_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/thoracentesis-pleural-tap/thoracentesis-pleural-tap_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
