sequence,specialty,procedureNameEn,procedureNameAr,canonicalProcedureKey,anatomyRegion,illustrationType,figureLabsPrompt,imageFileName,imagePublicPath,certificatePath,imageReviewStatus,patientFacing,notes
1,Breast Surgery,Breast Microdochotomy,جراحة قنوات الثدي الدقيقة,breast-microdochotomy,Breast duct and nipple area,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Breast Microdochotomy
Procedure (Arabic): جراحة قنوات الثدي الدقيقة
Specialty: Breast Surgery
Anatomical region / focus: Breast duct and nipple area
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",breast-microdochotomy_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/breast-surgery/breast-microdochotomy/breast-microdochotomy_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/breast-microdochotomy/breast-microdochotomy_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
2,Breast Surgery,Breast Wide LocaL Excision,استئصال محدود في الثدي,breast-wide-local-excision,Breast tissue and target lesion,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Breast Wide LocaL Excision
Procedure (Arabic): استئصال محدود في الثدي
Specialty: Breast Surgery
Anatomical region / focus: Breast tissue and target lesion
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",breast-wide-local-excision_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/breast-surgery/breast-wide-local-excision/breast-wide-local-excision_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/breast-wide-local-excision/breast-wide-local-excision_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
3,General Surgery / Other,Burch Colposuspension,تعليق عنق الرحم برباط كوبر,burch-colposuspension,Anatomy specific to Burch Colposuspension,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Burch Colposuspension
Procedure (Arabic): تعليق عنق الرحم برباط كوبر
Specialty: General Surgery / Other
Anatomical region / focus: Anatomy specific to Burch Colposuspension
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",burch-colposuspension_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/general-surgery/burch-colposuspension/burch-colposuspension_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/burch-colposuspension/burch-colposuspension_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
4,General Surgery / Other,Burns,الحروق,burns,Affected skin and superficial tissue layers,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Burns
Procedure (Arabic): الحروق
Specialty: General Surgery / Other
Anatomical region / focus: Affected skin and superficial tissue layers
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",burns_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/general-surgery/burns/burns_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/burns/burns_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
5,General Surgery / Other,Burns (Child-Young Person),Burns (Child-Young Person),burns-child-young-person,Affected skin and superficial tissue layers,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Burns (Child-Young Person)
Procedure (Arabic): Burns (Child-Young Person)
Specialty: General Surgery / Other
Anatomical region / focus: Affected skin and superficial tissue layers
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",burns-child-young-person_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/general-surgery/burns-child-young-person/burns-child-young-person_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/burns-child-young-person/burns-child-young-person_figurelabs_authorization_certificate_v1.pdf,draft,false,Arabic translation requires clinical review. Pending FigureLabs generation and medical review.
6,Gastroenterology / Hepatobiliary Surgery,Capsule Endoscopy,تنظير الكبسولة,capsule-endoscopy,Small intestine with capsule endoscope,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Capsule Endoscopy
Procedure (Arabic): تنظير الكبسولة
Specialty: Gastroenterology / Hepatobiliary Surgery
Anatomical region / focus: Small intestine with capsule endoscope
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",capsule-endoscopy_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/gastroenterology/capsule-endoscopy/capsule-endoscopy_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/capsule-endoscopy/capsule-endoscopy_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
7,Cardiology,Cardioversion,إعادة ضبط القلب بالصدمات الكهربائية,cardioversion,"Chest, heart, and external defibrillator pads",anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Cardioversion
Procedure (Arabic): إعادة ضبط القلب بالصدمات الكهربائية
Specialty: Cardiology
Anatomical region / focus: Chest, heart, and external defibrillator pads
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",cardioversion_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/cardiology/cardioversion/cardioversion_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/cardioversion/cardioversion_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
8,Vascular Surgery,Carotid Endarterectomy,استئصال بطانة الشريان السباتي,carotid-endarterectomy,Carotid artery in the neck,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Carotid Endarterectomy
Procedure (Arabic): استئصال بطانة الشريان السباتي
Specialty: Vascular Surgery
Anatomical region / focus: Carotid artery in the neck
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",carotid-endarterectomy_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/vascular-surgery/carotid-endarterectomy/carotid-endarterectomy_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/carotid-endarterectomy/carotid-endarterectomy_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
9,Vascular Surgery,Carotid Stenting,تركيب دعامة في الشريان السباتي,carotid-stenting,Carotid artery in the neck,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Carotid Stenting
Procedure (Arabic): تركيب دعامة في الشريان السباتي
Specialty: Vascular Surgery
Anatomical region / focus: Carotid artery in the neck
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",carotid-stenting_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/vascular-surgery/carotid-stenting/carotid-stenting_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/carotid-stenting/carotid-stenting_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
10,Radiology / Interventional Radiology,Catheter Check with IV Iodinated Contrast,Catheter Check with IV Iodinated Contrast,catheter-check-with-iv-iodinated-contrast,Existing catheter and contrast injection path,process_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Catheter Check with IV Iodinated Contrast
Procedure (Arabic): Catheter Check with IV Iodinated Contrast
Specialty: Radiology / Interventional Radiology
Anatomical region / focus: Existing catheter and contrast injection path
Illustration type: process_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Focus on the care pathway, device, instrument, or procedural steps rather than detailed internal organ anatomy.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",catheter-check-with-iv-iodinated-contrast_process_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/radiology/catheter-check-with-iv-iodinated-contrast/catheter-check-with-iv-iodinated-contrast_process_education_v1_draft.png,docs/clinical-illustrations/figurelabs/catheter-check-with-iv-iodinated-contrast/catheter-check-with-iv-iodinated-contrast_figurelabs_authorization_certificate_v1.pdf,draft,false,Arabic translation requires clinical review. Pending FigureLabs generation and medical review.
